BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName,Color
100100,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100101,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100102,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100103,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100104,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100105,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100106,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100107,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100108,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100109,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100110,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100111,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100112,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100113,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100114,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
100115,UATP,CREDIT,UATP,AMERICAN AIRLINES (AA),+18004337300,https://www.aa.com,US,USA,UNITED STATES,
